,F1-score
0,0.4530726048909079
1,0.3551669916120804
2,0.4042377973780545
3,0.38420157040472214
4,0.3792206826143439
5,0.43703717159395433
6,0.39156813800028445
7,0.37990513785472285
8,0.4399811012996357
9,0.3665012835749126
10,0.4293858233486834
11,0.403320169757085
12,0.36822260398226153
13,0.4542566867691775
14,0.4429597777574879
15,0.4561605578741828
16,0.401279117847841
17,0.4007807481107794
18,0.40173240795717535
19,0.349352614772406
20,0.4223543637814959
21,0.4295634361417921
22,0.4217382989278183
23,0.412542328722852
24,0.4405939077684265
25,0.39047636723663154
26,0.41979195938806774
27,0.39784638874034844
28,0.4083493642241103
29,0.3938488054872826
30,0.4264952704941994
31,0.42111690877328806
32,0.4161677703415392
33,0.41113732688983223
34,0.37540551797251415
35,0.4310878087349934
36,0.41654605957297747
37,0.423433871760718
38,0.3496824820327353
39,0.3818009283598547
40,0.38318435819933727
41,0.4195206541760876
42,0.3524307651875375
43,0.391709502784435
44,0.41796083433815084
45,0.42394424130276626
46,0.4302398324024667
47,0.4022922657228805
48,0.39193701391141217
49,0.3972032674460531
50,0.45513997587019345
51,0.4367709081677722
52,0.3879430734953167
53,0.3626244032398482
54,0.4108501648811256
55,0.34928703848209786
56,0.4479093434063437
57,0.4076925156102467
58,0.3544373201630418
59,0.4734737545977396
60,0.35103827904458146
61,0.4430817849484154
62,0.37247768273554366
63,0.483090349100147
64,0.3690741994800762
65,0.3879713030573259
66,0.3312151430023142
67,0.4007727752031109
68,0.4341496084629872
69,0.3903294604539418
70,0.3573964495207844
71,0.41189775774671133
72,0.4169572596001337
73,0.39074015139624946
74,0.4177890191778198
75,0.3889782500551254
76,0.4433857177974741
77,0.42491241366436955
78,0.4119112534480327
79,0.4336397868256521
80,0.3910067208566448
81,0.452339408543096
82,0.3899139713356649
83,0.386380361361324
84,0.4469811107479736
85,0.4630620130610303
86,0.42777839210159185
87,0.40850616715288757
88,0.39909321102385564
89,0.40904833786653416
90,0.41863597409582914
91,0.4213490799208696
92,0.4184247730594622
93,0.3388564903886934
94,0.4102349766970022
95,0.40376979274387254
96,0.38828408415769383
97,0.4147350274642594
98,0.4092508084525987
99,0.4006879640249628
